District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	329.2	10	24	35	14	17
0	350.8	24	24	32	12	8
0	308.5	2	14	41	18	24
0	297.6	1	4	40	32	22
0	287.6	0	3	31	25	41
0	248.8	0	0	0	0	100
0	316.1	5	22	29	28	15
0	331.6	11	25	24	27	13
0	304.8	11	16	24	34	15
0	321.4	9	26	25	32	7
0	323.7	12	25	25	28	10
0	320.5	13	20	23	29	15
0	323.3	17	19	27	31	6
0	340.9	17	30	29	17	6
0	324.4	11	25	24	32	8
0	34.9	0	0	0	0	0
0	36.5	0	0	0	0	0
0	35.8	0	0	0	0	0
0	36.2	0	0	0	0	0
0	34.3	0	0	0	0	0
0	37.9	0	0	0	0	0
0	36.4	0	0	0	0	0
0	36.3	0	0	0	0	0
0	38.1	0	0	0	0	0
0	38.8	0	0	0	0	0
0	39.3	0	0	0	0	0
0	38.8	0	0	0	0	0
0	38.5	0	0	0	0	0
0	38.7	0	0	0	0	0
0	337.8	18	23	36	20	3
0	368.2	24	35	26	14	0
0	376.2	27	34	21	16	2
0	343.0	18	26	32	20	3
0	332.7	18	22	32	18	10
0	379.1	28	32	24	13	2
0	365.5	28	33	23	10	6
0	384.3	36	31	19	12	2
0	354.3	24	29	26	14	7
0	396.1	41	27	18	12	2
0	380.1	41	29	20	7	3
0	388.3	42	28	20	9	1
0	362.8	21	35	29	10	6
0	373.2	34	32	24	6	4
0	387.6	30	33	20	13	4
0	367.3	30	35	25	8	3
0	363.7	24	30	25	16	4
0	368.5	29	35	24	8	4
0	354.4	19	30	31	15	5
0	440.7	55	35	7	3	1
0	*	*	*	*	*	*
0	427.7	52	38	8	2	0
0	433.5	60	20	10	10	0
0	325.4	6	26	34	25	9
0	345.3	20	25	32	13	10
0	365.8	31	26	20	14	9
0	364.0	30	29	28	9	4
0	360.6	17	37	25	16	5
0	*	*	*	*	*	*
0	342.2	13	30	29	23	5
0	*	*	*	*	*	*
0	378.6	30	31	24	12	3
0	457.5	68	18	11	4	0
0	345.8	22	27	25	11	15
0	362.1	27	30	32	7	4
0	349.0	27	19	23	14	17
0	319.4	4	18	44	18	16
0	328.0	10	21	40	18	11
0	315.6	2	17	49	17	15
0	*	*	*	*	*	*
0	301.5	2	15	28	35	19
0	364.2	29	31	25	11	4
0	320.7	4	25	30	30	11
0	294.5	1	9	31	46	13
0	294.6	1	12	27	47	14
0	269.6	0	0	20	30	50
0	327.1	8	26	31	25	10
0	*	*	*	*	*	*
0	381.3	26	40	22	10	1
0	329.3	13	23	29	16	19
0	335.7	12	22	42	14	10
0	338.0	11	27	40	14	8
0	327.1	6	24	42	15	13
0	336.6	14	24	38	13	11
0	293.3	0	4	39	29	28
0	295.9	0	0	45	38	17
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	343.9	19	25	31	14	11
0	350.2	23	28	30	11	8
0	293.8	1	10	27	41	21
0	283.9	0	7	25	43	24
0	272.7	0	4	15	58	23
0	267.1	0	0	6	56	39
0	290.2	1	10	27	39	23
0	266.4	3	0	11	44	42
0	334.7	10	29	28	26	6
0	270.8	4	6	18	21	52
0	339.7	18	27	26	13	17
0	353.1	23	25	33	11	8
0	317.1	5	16	39	22	17
0	322.0	5	19	44	17	14
0	343.2	16	27	38	11	8
0	290.6	0	5	33	28	33
0	322.2	6	22	39	20	14
0	286.6	0	0	36	27	36
0	344.9	22	26	25	17	10
0	283.2	1	7	20	47	26
0	285.9	1	7	26	44	22
0	313.8	7	18	24	38	12
0	269.0	0	0	14	43	43
0	314.0	6	19	29	31	15
0	267.2	2	0	14	42	42
0	341.0	12	30	28	24	6
0	328.9	13	23	28	15	20
0	349.2	20	25	37	11	7
0	327.2	8	21	40	18	13
0	321.5	4	20	44	17	15
0	335.6	13	24	39	15	10
0	304.9	1	11	43	23	22
0	303.7	2	7	42	33	16
0	281.7	0	0	29	21	50
0	*	*	*	*	*	*
0	319.9	5	23	33	28	11
0	335.9	11	27	26	26	10
