District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	285.7	0	12	18	47	22
0	*	*	*	*	*	*
0	260.7	0	0	14	38	48
0	354.3	25	26	28	10	10
0	333.3	13	25	34	13	15
0	365.6	25	33	22	16	4
0	313.2	5	21	30	26	18
0	321.6	9	21	27	31	12
0	324.5	11	20	28	24	16
0	333.9	11	25	25	27	11
0	355.4	24	31	30	9	6
0	351.5	26	24	22	8	19
0	303.4	3	10	42	23	23
0	*	*	*	*	*	*
0	343.8	18	26	33	13	10
0	320.4	4	25	40	14	18
0	311.6	11	19	25	36	10
0	329.9	8	31	24	31	5
0	333.3	11	31	26	23	8
0	326.5	14	20	25	30	10
0	330.2	18	20	27	32	3
0	342.1	14	30	27	25	4
0	350.5	16	36	29	18	2
0	327.3	12	29	23	25	10
0	314.2	13	21	22	31	13
0	311.3	11	20	23	33	13
0	309.5	9	22	21	28	19
0	330.7	12	25	31	19	12
0	312.8	11	19	24	30	16
0	35.0	0	0	0	0	0
0	35.8	0	0	0	0	0
0	37.0	0	0	0	0	0
0	35.7	0	0	0	0	0
0	40.2	0	0	0	0	0
0	38.5	0	0	0	0	0
0	38.7	0	0	0	0	0
0	39.0	0	0	0	0	0
0	38.6	0	0	0	0	0
0	35.3	0	0	0	0	0
0	37.3	0	0	0	0	0
0	36.0	0	0	0	0	0
0	37.6	0	0	0	0	0
0	37.9	0	0	0	0	0
0	335.7	15	23	36	23	3
0	370.0	29	29	24	17	1
0	390.2	38	29	21	13	0
0	345.0	19	26	35	17	4
0	334.0	18	23	32	16	11
0	378.3	28	34	18	16	3
0	329.5	13	24	29	18	16
0	384.1	36	24	19	17	5
0	350.7	24	27	22	19	9
0	338.3	9	37	28	18	8
0	335.8	21	16	25	25	13
0	325.2	12	18	33	29	8
0	369.0	30	31	23	10	6
0	390.1	40	27	19	12	3
0	403.2	42	27	19	11	2
0	355.1	23	28	29	13	6
0	383.2	45	27	19	7	3
0	397.0	46	27	18	9	1
0	392.0	32	33	20	12	3
0	370.1	27	35	23	10	5
0	373.1	35	34	22	6	3
0	371.8	34	33	24	7	2
0	370.0	26	32	25	14	3
0	439.0	56	33	7	3	1
0	362.3	21	34	28	13	4
0	372.1	31	34	24	7	3
0	372.5	37	27	24	8	4
0	354.5	26	24	28	10	11
0	320.1	4	24	35	24	12
0	*	*	*	*	*	*
0	361.3	17	36	25	17	4
0	422.0	59	24	12	6	0
0	424.2	51	35	12	2	0
0	381.9	40	23	19	10	8
0	325.1	3	22	55	13	8
0	321.7	5	21	43	18	14
0	363.3	30	23	37	7	3
0	*	*	*	*	*	*
0	338.6	13	26	43	12	7
0	352.2	25	26	25	9	15
0	344.8	11	33	32	20	4
0	392.0	38	30	20	9	3
0	322.0	5	25	29	31	10
0	*	*	*	*	*	*
0	300.1	2	14	31	32	21
0	452.5	63	34	3	0	0
0	365.8	28	33	31	5	3
0	368.1	31	34	23	9	4
0	354.0	28	25	28	11	7
0	339.0	13	25	41	12	9
0	*	*	*	*	*	*
0	388.8	32	40	19	8	1
0	291.6	1	7	27	54	10
0	294.2	1	11	28	42	19
0	335.3	12	26	32	21	9
0	299.2	1	13	32	42	12
0	337.2	16	24	30	11	18
0	334.8	9	28	45	13	5
0	*	*	*	*	*	*
0	349.6	21	26	33	12	9
0	345.7	15	30	41	10	5
0	*	*	*	*	*	*
0	328.0	8	24	40	15	13
0	311.5	0	14	51	22	14
