District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	368.8	33	30	20	10	7
0	390.7	39	29	17	10	4
0	409.3	47	26	16	9	2
0	356.4	23	31	27	11	8
0	382.6	44	28	20	6	2
0	400.5	46	27	17	8	1
0	402.4	36	32	18	11	3
0	375.9	37	32	22	6	3
0	377.4	29	37	23	7	5
0	374.0	37	30	23	8	2
0	377.1	28	33	23	12	3
0	369.4	24	34	24	14	4
0	376.3	35	34	21	8	3
0	441.2	57	33	8	2	0
0	362.1	19	34	23	18	5
0	514.6	91	9	0	0	0
0	375.2	39	27	22	8	4
0	365.9	33	25	24	8	9
0	325.1	7	25	32	24	11
0	427.5	53	35	10	2	0
0	409.9	51	21	15	7	6
0	*	*	*	*	*	*
0	268.4	0	4	12	44	40
0	*	*	*	*	*	*
0	377.1	38	31	23	5	3
0	335.4	11	26	38	12	13
0	352.4	22	33	26	7	11
0	329.0	4	26	53	10	7
0	364.9	31	28	23	6	12
0	350.5	15	35	29	18	4
0	299.1	3	13	29	35	21
0	438.5	57	33	9	1	1
0	371.6	35	29	22	9	4
0	404.3	42	33	16	6	3
0	324.4	6	25	28	29	11
0	345.7	18	25	37	14	6
0	359.0	24	32	34	7	3
0	295.0	1	12	26	42	20
0	345.5	14	30	31	18	7
0	354.7	28	28	26	11	7
0	395.2	33	40	18	8	1
0	303.1	2	16	33	38	12
0	353.8	24	27	27	8	14
0	*	*	*	*	*	*
0	362.4	29	28	25	10	9
0	313.1	1	16	46	17	19
0	356.9	21	34	32	8	5
0	338.6	14	26	35	11	13
0	348.0	21	26	33	11	9
0	244.6	0	0	0	15	85
0	302.4	0	16	33	37	13
0	291.8	0	11	27	44	18
0	296.8	2	11	26	36	25
0	364.1	33	24	25	9	9
0	334.0	13	25	36	12	15
0	330.6	11	22	36	17	14
0	320.1	2	25	45	11	17
0	309.5	0	12	44	32	12
0	296.3	10	14	22	11	43
0	280.9	1	7	24	47	21
0	350.0	25	26	25	10	14
0	350.7	15	32	28	20	4
0	350.0	25	27	27	12	10
0	302.3	3	15	31	31	20
0	285.6	1	9	19	45	26
0	359.6	27	30	31	8	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	333.1	12	23	30	23	12
0	342.4	14	27	24	25	10
0	293.2	0	12	28	43	18
0	358.8	19	33	26	18	4
0	319.0	6	22	31	27	14
0	327.1	11	23	28	29	9
0	354.4	23	29	34	10	5
0	353.3	24	26	27	8	15
0	307.4	0	10	44	31	15
0	322.3	3	23	49	12	13
0	343.5	16	28	34	13	9
0	335.6	12	26	37	12	13
0	362.4	30	28	27	8	7
0	288.0	1	10	21	32	35
0	313.1	9	19	27	39	6
0	325.5	6	28	30	32	4
0	335.2	15	25	24	30	6
0	338.0	20	23	23	23	11
0	334.5	17	20	31	28	3
0	353.9	19	31	24	23	3
0	342.6	15	29	35	18	3
0	329.8	20	20	21	25	14
0	327.4	11	27	24	28	10
0	309.1	8	22	22	28	19
0	328.8	20	19	21	28	12
0	*	*	*	*	*	*
0	305.9	6	18	27	34	16
0	334.5	21	23	21	23	12
0	339.8	16	28	30	17	10
0	292.4	2	10	26	47	16
0	310.6	9	19	26	29	17
0	305.4	6	17	27	32	17
0	300.9	6	15	26	35	17
0	303.2	6	17	27	32	18
0	298.9	2	12	29	39	17
0	313.6	7	21	29	28	14
0	301.8	3	12	31	39	14
0	290.0	4	13	25	35	24
0	299.0	4	14	28	37	17
0	299.2	3	12	30	40	16
0	302.8	6	16	27	34	17
0	35.5	0	0	0	0	0
0	36.2	0	0	0	0	0
0	35.8	0	0	0	0	0
0	36.4	0	0	0	0	0
0	39.3	0	0	0	0	0
0	38.5	0	0	0	0	0
0	39.7	0	0	0	0	0
0	38.6	0	0	0	0	0
0	39.2	0	0	0	0	0
0	35.4	0	0	0	0	0
0	37.1	0	0	0	0	0
0	36.4	0	0	0	0	0
0	36.3	0	0	0	0	0
0	37.5	0	0	0	0	0
0	373.6	27	32	25	15	1
0	348.0	26	25	29	18	3
0	354.0	25	29	27	16	3
0	380.0	28	37	20	13	2
0	384.9	35	30	18	16	1
0	349.4	28	25	27	15	6
0	348.0	25	23	25	11	15
0	388.6	37	23	19	13	8
0	364.4	32	22	21	12	13
0	357.9	26	29	26	12	8
0	343.2	15	34	27	17	6
0	339.4	15	24	30	17	13
0	392.8	41	28	16	10	5
0	364.3	31	30	20	11	9
0	412.7	49	25	15	8	2
0	352.6	21	30	27	12	9
0	377.9	41	28	21	7	3
0	401.7	47	27	17	9	2
0	402.4	36	31	18	11	3
0	380.5	32	36	21	6	5
0	370.8	34	32	23	7	4
0	369.2	34	30	23	9	3
0	377.6	28	33	23	12	4
0	369.9	25	33	24	14	4
0	370.3	32	33	22	9	4
0	438.7	55	34	9	2	0
0	358.8	19	33	24	20	5
0	368.2	35	27	23	9	5
0	*	*	*	*	*	*
0	432.1	56	34	8	2	0
0	322.8	7	24	31	25	13
0	368.3	36	23	22	8	11
0	520.3	88	12	0	0	0
0	415.8	54	19	13	6	7
0	332.6	5	31	48	10	6
0	361.9	26	35	27	5	7
0	338.8	13	28	34	11	13
0	348.9	20	25	36	12	6
0	373.8	38	25	19	4	14
0	406.5	45	31	14	7	3
0	299.7	3	14	28	34	22
0	353.3	16	36	28	17	4
0	260.5	0	0	9	45	45
0	443.2	58	36	7	0	0
0	379.6	41	29	21	5	4
0	*	*	*	*	*	*
0	366.2	32	29	23	10	6
0	322.5	7	24	27	30	13
0	293.2	1	12	24	42	22
0	348.6	25	27	26	13	9
0	*	*	*	*	*	*
0	348.2	22	26	31	11	11
0	403.7	37	40	16	6	1
0	301.8	1	15	32	36	15
0	305.5	3	18	33	34	12
0	348.2	16	30	30	18	7
0	362.4	30	26	23	7	14
0	364.2	31	27	22	9	10
0	365.5	29	33	29	6	3
0	343.5	19	27	30	10	14
0	363.3	27	34	27	7	5
0	317.1	2	20	49	13	17
0	*	*	*	*	*	*
0	311.9	0	20	33	33	13
0	322.7	3	27	42	11	17
0	335.5	15	23	32	15	15
0	337.8	16	26	32	10	16
0	365.3	32	29	27	8	4
0	298.2	12	15	19	10	45
0	*	*	*	*	*	*
0	304.1	3	16	30	31	20
0	355.8	30	25	21	9	15
0	283.8	1	8	26	45	20
0	294.4	0	14	26	41	19
0	360.1	20	34	25	18	4
0	361.6	33	22	23	10	11
0	296.4	3	7	24	34	31
0	284.2	1	8	18	44	28
0	344.9	24	25	26	13	12
