District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	367.1	32	29	21	11	8
0	389.5	39	30	15	12	4
0	407.4	44	27	18	9	2
0	352.7	21	30	27	14	7
0	380.1	43	27	20	8	3
0	398.4	48	26	16	8	1
0	401.6	38	29	19	11	3
0	371.9	37	30	21	8	4
0	378.7	30	35	22	8	5
0	367.8	33	29	26	8	3
0	376.0	28	31	23	13	4
0	364.3	21	35	27	14	3
0	370.0	29	36	22	9	4
0	433.8	53	35	10	3	0
0	360.6	18	34	25	18	5
0	472.4	71	19	2	0	8
0	371.9	36	28	23	8	5
0	361.2	32	25	23	10	10
0	323.4	7	25	32	25	11
0	427.2	53	37	9	1	0
0	399.4	48	21	17	8	6
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	374.5	36	32	23	6	3
0	330.8	11	23	38	15	14
0	290.1	0	0	36	42	22
0	363.0	23	37	21	12	6
0	340.5	7	41	38	6	8
0	349.5	13	35	29	18	4
0	296.1	2	13	27	35	23
0	438.9	62	23	3	7	5
0	366.4	33	28	24	9	6
0	404.2	44	32	16	7	2
0	322.6	6	25	28	30	12
0	346.3	16	27	41	11	6
0	*	*	*	*	*	*
0	360.2	31	26	21	10	13
0	351.7	26	24	25	11	14
0	353.8	18	34	36	7	5
0	357.0	28	25	26	10	11
0	297.5	1	14	26	39	20
0	342.6	14	28	31	18	9
0	352.3	25	28	28	12	7
0	393.5	34	42	15	8	2
0	304.0	2	17	32	38	12
0	308.5	2	20	34	18	27
0	355.2	18	33	37	8	3
0	*	*	*	*	*	*
0	293.2	0	0	46	33	21
0	335.5	15	25	35	12	14
0	343.9	18	26	33	14	10
0	270.9	0	0	7	80	13
0	300.6	2	17	30	32	20
0	292.4	2	13	24	38	23
0	244.4	0	0	0	29	71
0	360.7	31	23	24	12	10
0	329.2	12	23	36	13	17
0	310.6	0	11	58	11	21
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	327.8	9	19	42	19	11
0	319.1	3	26	40	12	20
0	281.3	1	8	23	47	21
0	348.7	23	28	22	11	16
0	347.9	15	34	25	21	6
0	347.2	24	26	27	13	11
0	298.6	3	14	30	31	23
0	287.6	1	9	22	44	24
0	361.7	25	34	30	7	5
0	285.7	7	11	18	14	50
0	*	*	*	*	*	*
0	354.6	20	31	35	8	5
0	350.1	25	24	24	11	15
0	328.4	11	22	29	23	14
0	340.0	13	27	25	25	10
0	294.2	2	14	25	37	22
0	356.0	18	35	23	18	5
0	316.1	6	22	31	28	14
0	325.1	9	24	28	30	10
0	298.8	0	4	47	28	21
0	359.1	27	27	27	11	7
0	*	*	*	*	*	*
0	326.0	4	31	38	11	16
0	*	*	*	*	*	*
0	341.2	13	26	40	14	7
0	331.3	12	23	36	14	15
0	*	*	*	*	*	*
0	253.9	0	0	4	45	51
0	314.9	15	16	24	35	9
0	329.4	8	29	24	32	6
0	334.7	13	29	21	31	6
0	334.6	15	24	28	23	9
0	337.0	21	22	25	28	4
0	353.3	19	31	22	25	4
0	349.2	15	35	31	17	2
0	328.9	12	24	24	30	11
0	319.0	19	17	22	28	15
0	320.7	14	22	23	25	16
0	*	*	*	*	*	*
0	308.8	6	22	20	30	21
0	337.3	17	25	27	18	14
0	303.3	6	12	34	30	18
0	325.0	14	22	25	26	13
0	301.9	8	18	23	35	17
0	309.3	7	16	29	33	15
0	302.3	5	17	27	34	17
0	301.7	5	12	34	33	16
0	301.4	3	16	31	33	16
0	304.2	6	14	32	32	16
0	39.8	0	0	0	0	0
0	38.5	0	0	0	0	0
0	39.5	0	0	0	0	0
0	38.8	0	0	0	0	0
0	38.9	0	0	0	0	0
0	35.5	0	0	0	0	0
0	36.9	0	0	0	0	0
0	36.4	0	0	0	0	0
0	36.6	0	0	0	0	0
0	36.9	0	0	0	0	0
0	34.4	0	0	0	0	0
0	36.4	0	0	0	0	0
0	36.6	0	0	0	0	0
0	35.3	0	0	0	0	0
0	376.0	28	36	21	14	1
0	346.9	24	27	27	18	4
0	352.0	24	27	32	15	3
0	384.6	34	32	20	13	1
0	380.7	34	28	20	14	4
0	345.3	23	25	30	16	5
0	342.0	19	26	26	12	17
0	375.0	32	26	21	15	6
0	349.7	22	29	27	17	6
0	360.6	28	22	25	17	9
0	329.3	11	24	29	26	10
0	342.4	13	31	33	17	6
0	390.6	40	29	15	11	4
0	361.7	29	28	22	12	9
0	410.4	45	27	17	9	2
0	348.4	19	30	27	16	8
0	375.1	40	27	21	9	4
0	399.0	48	26	15	9	2
0	401.5	38	28	19	11	3
0	382.6	33	34	20	8	5
0	367.2	34	30	22	9	5
0	364.4	32	28	27	10	4
0	376.6	29	31	23	13	4
0	364.9	22	35	25	15	4
0	433.2	52	34	10	3	0
0	362.8	26	35	23	10	6
0	365.9	33	27	24	10	6
0	358.2	18	33	25	19	5
0	477.5	75	19	0	0	6
0	427.8	54	36	8	2	0
0	322.2	8	24	30	25	13
0	364.1	34	23	21	10	11
0	*	*	*	*	*	*
0	406.7	51	20	15	7	7
0	367.7	25	37	21	11	6
0	334.4	14	24	35	13	14
0	377.9	39	31	21	6	4
0	368.4	36	25	18	9	12
0	351.1	18	29	37	10	5
0	291.1	0	0	40	36	24
0	341.9	8	46	30	5	10
0	*	*	*	*	*	*
0	456.6	71	22	3	3	3
0	295.4	2	13	27	34	24
0	351.6	14	36	28	17	4
0	409.4	46	32	14	6	2
0	321.0	6	24	27	30	12
0	360.1	30	28	24	11	7
0	346.8	23	27	27	14	10
0	296.1	1	14	24	38	22
0	347.3	17	29	28	18	9
0	306.0	3	18	31	35	13
0	401.0	37	43	13	6	1
0	303.6	3	17	32	27	21
0	*	*	*	*	*	*
0	269.6	0	0	9	82	9
0	306.4	1	21	31	16	31
0	302.3	0	0	73	18	9
0	362.2	24	36	31	6	4
0	360.8	32	24	20	9	15
0	344.1	19	25	29	14	12
0	339.6	19	26	29	11	15
0	362.2	23	34	32	7	3
0	358.9	31	23	23	10	13
0	331.2	11	20	40	17	12
0	333.4	15	25	31	12	18
0	356.1	30	21	23	13	12
0	287.9	9	12	15	14	50
0	370.9	31	35	25	5	4
0	310.5	0	5	68	11	16
0	318.7	4	26	38	11	21
0	*	*	*	*	*	*
0	244.1	0	0	0	21	79
0	292.1	2	14	21	38	24
0	356.0	19	35	22	19	6
0	282.5	1	9	24	44	23
0	352.1	27	26	19	10	18
0	300.2	3	15	29	30	23
0	287.0	1	10	21	44	25
0	340.1	21	24	26	14	14
0	337.7	12	26	24	26	11
0	331.9	13	23	27	22	15
0	314.6	6	21	29	28	16
0	326.4	10	24	27	28	11
0	364.9	22	36	20	16	5
0	294.5	2	15	24	36	24
0	255.4	0	0	4	48	48
0	300.0	0	2	56	24	18
0	325.5	5	33	33	10	19
0	*	*	*	*	*	*
0	362.5	25	33	30	7	5
0	*	*	*	*	*	*
0	359.0	29	27	25	11	9
0	335.2	15	24	32	12	15
0	346.3	17	27	36	13	8
0	358.7	32	24	20	9	16
0	328.4	8	29	24	32	7
0	310.3	14	14	24	38	10
0	331.7	14	24	28	24	9
0	334.2	14	28	20	32	6
0	350.1	18	29	21	26	5
0	332.1	20	20	25	30	5
0	350.5	17	34	31	17	2
0	310.5	16	16	21	30	17
0	328.6	12	24	22	30	12
0	309.5	7	23	19	29	22
0	316.0	13	21	22	27	17
0	*	*	*	*	*	*
0	299.0	6	11	32	30	21
0	338.9	19	24	25	18	15
0	320.9	13	20	25	27	14
0	300.1	7	17	23	35	18
0	309.6	7	17	30	32	14
0	299.5	5	12	32	34	18
0	302.6	5	16	28	34	17
0	299.8	4	14	29	37	16
0	302.2	5	13	31	33	17
0	33.3	0	0	0	0	0
0	36.5	0	0	0	0	0
0	37.2	0	0	0	0	0
0	35.5	0	0	0	0	0
0	39.7	0	0	0	0	0
0	38.3	0	0	0	0	0
0	39.1	0	0	0	0	0
0	39.1	0	0	0	0	0
0	38.6	0	0	0	0	0
0	35.4	0	0	0	0	0
0	37.0	0	0	0	0	0
0	36.2	0	0	0	0	0
0	37.1	0	0	0	0	0
0	37.3	0	0	0	0	0
0	339.5	20	26	28	21	5
0	376.7	31	34	19	16	1
0	384.8	33	32	20	14	1
0	345.4	20	26	33	17	4
0	335.0	19	23	29	20	9
0	375.3	34	25	18	18	6
0	375.6	33	28	16	15	8
0	332.1	17	23	24	16	20
0	340.4	20	24	26	21	10
0	362.5	30	19	24	17	9
0	332.4	13	25	27	27	8
0	335.8	11	29	33	19	8
0	372.7	34	30	20	10	6
0	388.4	38	31	16	12	3
0	404.3	42	28	19	10	2
0	357.1	23	31	27	13	6
0	385.3	46	26	19	6	2
0	397.7	47	27	17	8	1
0	401.7	37	30	19	11	2
0	376.5	40	29	21	7	3
0	374.7	27	36	23	9	4
0	371.3	34	30	26	7	2
0	375.4	28	32	24	13	3
0	363.7	20	36	28	14	3
0	377.3	33	36	21	7	3
0	434.5	53	35	9	2	0
0	362.9	19	34	25	17	4
0	460.8	63	19	6	0	13
0	358.2	29	26	26	11	9
0	324.7	6	25	35	24	9
0	426.4	52	38	10	1	0
0	377.9	39	29	22	7	4
0	392.0	44	23	19	9	5
0	287.7	0	0	27	55	18
0	341.9	13	25	44	12	6
0	*	*	*	*	*	*
0	352.1	26	26	25	11	13
0	372.6	36	28	24	8	4
0	347.6	13	35	31	18	4
0	297.1	2	13	28	36	21
0	398.6	41	32	18	8	2
0	324.4	6	26	28	29	11
0	412.5	49	26	4	13	8
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	371.4	33	32	26	6	3
0	326.8	8	21	41	16	13
0	357.1	21	36	22	13	7
0	339.2	6	37	44	7	6
0	311.1	3	18	38	20	22
0	348.7	13	32	42	9	3
0	330.6	10	23	41	13	12
0	343.7	16	26	36	14	7
0	*	*	*	*	*	*
0	297.6	1	16	27	36	20
0	385.3	31	40	17	10	2
0	299.1	2	14	27	40	18
0	338.2	11	28	33	19	8
0	302.1	2	15	32	40	11
0	358.0	27	29	28	11	5
0	342.2	19	25	30	13	14
0	343.7	12	31	44	8	6
0	285.5	0	0	23	46	31
0	355.1	25	27	29	11	9
0	310.8	0	16	47	11	26
0	*	*	*	*	*	*
0	351.0	18	32	36	8	6
0	283.0	5	9	22	15	50
0	*	*	*	*	*	*
0	354.6	26	27	27	12	8
0	280.0	0	6	23	50	20
0	345.2	20	29	25	12	15
0	297.1	2	13	30	33	22
0	288.5	1	8	24	45	22
0	340.6	11	33	28	22	6
0	292.7	1	13	27	39	21
0	244.5	0	0	0	35	65
0	365.3	32	25	26	10	7
0	324.4	8	21	41	15	15
0	324.5	6	18	45	20	10
0	*	*	*	*	*	*
0	319.5	2	26	42	12	18
0	297.2	0	7	35	33	26
0	359.1	26	28	30	10	5
0	336.5	10	25	43	15	7
0	326.9	9	21	41	15	14
0	*	*	*	*	*	*
0	252.1	0	0	5	41	55
0	293.8	1	14	27	38	21
0	347.6	15	34	26	21	5
0	325.1	10	21	31	24	14
0	317.9	5	22	33	27	12
0	323.8	9	23	29	31	9
0	342.5	14	28	25	25	9
0	346.3	15	29	41	10	6
0	341.3	19	24	29	13	15
0	*	*	*	*	*	*
0	326.6	4	29	42	11	13
0	*	*	*	*	*	*
0	324.8	18	20	24	30	8
0	331.0	9	30	24	33	4
0	335.7	12	31	23	28	6
0	340.6	18	24	29	21	7
0	346.4	24	24	26	25	2
0	358.9	19	34	23	22	2
0	346.8	13	37	31	17	2
0	329.5	10	25	26	30	9
0	336.8	24	19	24	24	10
0	329.7	16	24	24	23	13
0	*	*	*	*	*	*
0	307.5	5	21	22	32	20
0	334.2	12	26	31	19	12
0	313.3	7	14	38	30	11
0	333.6	16	26	25	23	10
0	309.4	8	16	28	33	15
0	305.8	8	19	24	34	15
0	301.8	4	18	27	35	16
0	306.1	7	11	38	31	13
0	303.8	2	18	35	28	17
0	308.2	6	15	34	31	14
0	36.6	0	0	0	0	0
0	36.2	0	0	0	0	0
0	35.6	0	0	0	0	0
0	34.9	0	0	0	0	0
0	35.6	0	0	0	0	0
0	36.6	0	0	0	0	0
0	36.7	0	0	0	0	0
0	35.6	0	0	0	0	0
0	36.3	0	0	0	0	0
0	40.1	0	0	0	0	0
0	38.8	0	0	0	0	0
0	40.5	0	0	0	0	0
0	38.2	0	0	0	0	0
0	39.3	0	0	0	0	0
0	375.4	26	37	24	12	1
0	354.1	28	29	26	15	3
0	359.0	28	27	31	12	2
