District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	304.3	0	8	46	31	15
0	369.1	31	33	26	6	4
0	*	*	*	*	*	*
0	362.6	31	21	25	11	11
0	281.6	1	7	20	50	21
0	319.6	2	26	39	13	19
0	290.0	1	9	28	45	18
0	358.1	19	36	23	19	4
0	296.3	2	14	28	34	22
0	336.0	13	21	39	16	10
0	303.3	12	14	22	10	41
0	338.0	14	30	32	11	13
0	357.1	30	26	20	10	14
0	343.8	21	27	27	14	11
0	285.0	1	10	18	44	27
0	341.6	13	28	24	25	10
0	363.9	31	25	23	7	13
0	349.1	18	26	37	12	7
0	339.7	15	29	33	12	12
0	329.2	11	24	27	24	14
0	367.5	23	37	21	16	3
0	312.9	4	21	29	30	15
0	327.8	5	29	43	10	13
0	289.3	1	9	26	46	19
0	327.5	11	23	25	32	9
0	359.0	25	31	30	9	6
0	362.9	28	27	28	9	7
0	300.7	0	6	41	29	24
0	284.5	8	12	4	32	44
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	311.8	10	18	27	36	9
0	329.6	9	32	24	30	6
0	332.6	12	29	28	24	7
0	329.0	14	21	25	31	9
0	334.3	18	20	30	30	2
0	342.4	15	28	27	27	4
0	352.4	18	35	30	16	2
0	328.4	10	27	24	27	12
0	316.6	18	16	23	28	15
0	318.9	14	22	23	26	14
0	*	*	*	*	*	*
0	305.0	8	20	19	29	24
0	302.3	6	15	27	35	17
0	324.0	15	22	23	27	13
0	345.9	20	28	20	19	12
0	309.6	10	18	24	28	20
0	303.3	7	14	28	32	19
0	297.2	3	13	25	38	21
0	301.7	5	12	34	31	19
0	308.0	8	13	30	35	14
0	308.9	8	19	26	29	17
0	317.4	9	22	28	24	16
0	296.8	6	14	21	42	18
0	292.3	6	14	23	32	25
0	294.6	1	12	29	37	20
0	298.3	3	12	31	34	19
0	303.1	7	14	27	35	17
0	372.4	27	32	24	16	1
0	339.2	21	23	31	24	2
0	384.2	33	30	22	14	1
0	351.9	26	23	30	18	2
0	388.4	36	27	18	16	3
0	340.0	21	25	26	19	9
0	363.7	28	24	18	17	13
0	331.7	19	21	23	16	21
0	367.5	30	22	17	17	14
