District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	378.7	32	35	21	8	4
0	404.6	50	22	16	8	5
0	367.0	31	29	24	9	6
0	352.5	18	35	29	16	2
0	337.9	15	27	31	18	10
0	322.2	10	24	29	24	13
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	381.5	34	34	20	8	5
0	411.7	53	20	15	7	5
0	369.8	34	28	22	9	7
0	355.9	20	35	27	16	2
0	339.4	16	27	29	18	10
0	322.5	11	24	26	25	14
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	375.8	30	35	23	8	4
0	397.4	46	24	18	8	4
0	364.2	28	30	26	9	5
0	346.5	14	34	33	17	2
0	334.9	13	25	34	19	9
0	321.7	7	25	34	22	12
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	394.7	39	38	17	4	2
0	416.5	55	22	15	5	3
0	375.0	35	32	23	7	4
0	361.2	22	36	26	14	2
0	348.5	20	29	29	15	8
0	336.0	14	29	27	20	10
0	421.3	56	31	9	2	1
0	444.5	67	18	10	3	1
0	386.5	41	32	20	4	3
0	371.8	21	50	11	18	0
0	356.4	22	28	36	8	6
0	339.2	9	36	39	6	9
0	387.2	32	43	21	3	1
0	397.3	45	27	19	6	2
0	358.1	22	33	32	9	4
0	355.8	14	46	20	14	6
0	368.0	26	38	25	7	4
0	351.1	16	39	26	15	3
0	322.0	5	27	32	22	15
0	344.4	20	27	24	17	11
0	316.1	10	14	35	21	20
0	349.3	17	33	33	17	0
0	308.1	7	21	29	29	14
0	*	*	*	*	*	*
0	425.6	59	30	8	2	1
0	472.2	80	13	5	1	0
0	412.3	59	28	11	2	1
0	386.7	37	40	16	8	0
0	375.8	29	31	29	12	0
0	374.6	24	45	18	12	0
0	352.4	17	34	29	13	7
0	371.8	34	25	22	12	7
0	344.3	18	28	31	14	10
0	347.9	15	34	31	18	2
0	332.2	12	26	33	19	10
0	319.9	9	22	31	26	13
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	357.4	20	35	27	12	6
0	373.4	35	24	23	11	6
0	347.1	20	28	30	11	10
0	351.8	12	40	29	18	1
0	326.6	9	28	32	16	15
0	321.4	9	27	27	22	14
0	360.6	21	37	25	9	8
0	365.1	32	23	25	10	10
0	353.3	24	31	26	10	9
0	361.2	8	54	38	0	0
0	333.5	20	0	60	20	0
0	318.8	0	18	64	9	9
0	420.7	57	28	10	3	2
0	472.8	77	13	6	2	1
0	405.7	55	25	13	4	3
0	362.9	26	34	26	11	3
0	342.1	10	37	27	17	10
0	*	*	*	*	*	*
0	397.0	41	38	16	4	1
0	431.3	63	22	10	3	2
0	384.4	41	32	21	6	2
0	364.9	19	51	23	7	0
0	333.7	19	24	29	14	14
0	328.9	7	20	40	27	7
0	352.6	17	34	29	13	7
0	372.8	35	25	22	11	7
0	345.9	19	28	31	13	9
0	346.6	14	35	31	17	2
0	333.8	13	26	32	19	10
0	318.1	7	24	29	26	13
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	364.6	23	35	32	6	5
0	394.7	41	28	18	8	4
0	350.2	22	26	34	11	7
0	362.1	15	55	20	5	5
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	406.3	47	36	12	3	2
0	436.6	65	19	10	4	2
0	389.6	45	31	16	5	4
0	369.5	31	31	22	14	1
0	357.8	24	32	22	15	7
0	336.2	19	24	25	17	15
0	331.9	9	29	32	19	12
0	354.4	26	25	25	15	9
0	333.0	13	25	33	17	13
0	345.5	15	33	30	18	4
0	323.5	9	20	38	21	11
0	310.2	3	24	29	28	15
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	352.0	16	35	30	12	7
0	372.0	34	26	23	11	6
0	345.1	19	28	30	14	9
0	344.1	13	33	33	19	2
0	339.0	16	27	29	20	8
0	324.2	10	23	32	25	10
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	372.7	26	40	23	8	3
0	397.3	47	24	18	7	4
0	365.2	29	33	25	8	5
0	361.9	22	37	25	14	2
0	345.1	16	30	29	16	9
0	333.0	13	28	28	21	11
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	399.9	43	37	15	3	2
0	433.1	64	20	11	3	2
0	387.2	43	32	18	5	3
0	363.8	23	38	26	13	0
0	348.2	22	30	23	16	10
0	330.3	10	30	30	18	12
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	424.0	59	29	9	2	1
0	462.3	74	15	7	3	1
0	407.0	55	28	12	3	2
0	366.7	28	33	22	15	2
0	355.4	23	30	29	10	9
0	327.6	14	22	29	21	13
0	380.5	33	35	21	8	4
0	408.3	51	22	16	7	4
0	369.7	32	30	24	8	5
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
