,Unnamed: 0,District Code,Mean Scale Score,Percentage Advanced,Percentage Proficient,Percentage Basic,Percentage Below Basic,Percentage Far Below Basic
7,7,68023.0,352.60180032733217,30.472995090016365,28.761593016912165,19.746863066012,10.561374795417349,3.278777959629024
8,8,68031.0,377.66153846153867,35.772893772893774,29.970695970695967,19.935286935286936,9.582417582417582,4.721611721611722
13,13,68106.0,318.5285714285715,14.108680792891318,21.2241968557758,26.10594668489405,19.53793574846207,15.021189336978809
15,15,68122.0,321.4143999999997,10.335999999999999,19.896,30.388,21.255,17.522000000000002
16,16,68130.0,309.77615772581385,11.072902338376892,21.113250802384233,27.827143512150393,19.026134800550206,15.162769371847775
19,19,68171.0,335.7696517412936,18.159203980099498,19.840796019900502,30.80597014925373,18.875621890547265,12.427860696517413
20,20,68189.0,340.65239520958136,19.481287425149702,24.005239520958085,26.43787425149701,17.964071856287426,11.08308383233533
23,23,68213.0,319.7785350966426,11.549338758901325,18.00203458799593,28.12410986775178,22.865717192268573,19.46897253306205
25,25,68296.0,357.64998519395937,30.147468167012143,26.688480900207285,21.623038199585427,11.488007106899614,6.302339354456619
26,26,68304.0,346.8986460348161,21.040618955512574,26.794970986460353,26.440361057382326,16.324306898774985,8.13733075435203
28,28,68338.0,327.48973848400294,18.67874684720563,22.94942254082039,24.36798088410991,17.80260188503916,11.129430505774591
29,29,68346.0,362.90111669458406,32.13958682300391,22.39865996649916,20.842546063651593,13.24064768285874,9.830820770519264
36,36,68411.0,319.6211216792397,14.894063627418824,23.122335191866185,27.729419481797308,17.51197113807806,10.405706789111184
38,38,68452.0,327.2901446350483,17.6929027917928,24.847292297342747,26.056508577194748,16.615876219307097,8.951564076690213
39,39,73551.0,355.68042624789666,28.46214245653393,23.503084688726865,22.15479528883904,14.912507010656194,9.08581043185642
40,40,73569.0,328.6411454408443,17.58553127354936,24.005651846269778,26.329314242652604,17.27467972871138,10.287867370007538
41,41,73791.0,351.86342033502183,27.213478768991042,27.814569536423846,23.91975068172965,11.675496688741722,4.440202571094663
43,43,75614.0,345.0528470889313,19.841970569417786,27.5572616762636,27.445937300063978,16.225207933461288,7.534229046705056
