,Unnamed: 0,District Code,Mean Scale Score,Percentage Advanced,Percentage Proficient,Percentage Basic,Percentage Below Basic,Percentage Far Below Basic
7,7,68023.0,376.05848434925866,32.238879736408556,31.11202635914333,21.87644151565074,11.352553542009884,3.4415156507413514
8,8,68031.0,382.7578645235367,35.72215843857635,32.24110218140069,21.154994259471874,8.373134328358207,2.551090700344432
13,13,68106.0,327.68575832305766,12.453760789149197,22.57521578298397,28.562885326757087,22.05610357583231,14.36498150431566
15,15,68122.0,323.3313052011775,9.66143277723258,21.53385672227674,31.181550539744848,22.639842983316974,15.034347399411187
16,16,68130.0,327.3384932070816,11.124742692466038,23.65829559489502,30.29147797447509,21.500617538081517,13.450391107451624
19,19,68171.0,365.70000000000016,27.89333333333333,31.364444444444448,22.382222222222218,13.248888888888885,5.231111111111111
20,20,68189.0,358.41502262443436,25.165610859728503,29.80452488687783,23.661538461538463,15.268778280542989,6.129411764705884
23,23,68213.0,326.8039603960396,12.537623762376235,20.58514851485149,28.72079207920792,23.023762376237627,15.204950495049506
25,25,68296.0,369.6213708373752,30.275137407048174,28.39670223084384,22.36792757840285,13.316197866149368,5.668283220174588
26,26,68304.0,351.47247386759574,21.18745644599303,28.462020905923342,26.367944250871076,15.350522648083626,8.666898954703832
28,28,68338.0,345.9848261178153,20.4278211497516,24.92704045422285,25.365649396735268,19.09098651525905,10.21973030518098
29,29,68346.0,366.9322072072071,30.765202702702698,24.31475225225225,21.65427927927928,14.815315315315313,8.480855855855856
36,36,68411.0,340.61173900378634,16.17768715409263,25.689775706379265,28.97757063792601,19.866006408389165,9.290707835712203
38,38,68452.0,342.41384094754744,16.759729272419627,26.584433164128594,28.53739424703892,19.332994923857868,8.794923857868021
39,39,73551.0,369.23623426382113,31.15435139573071,25.464696223316913,22.55391351943076,14.113300492610838,6.715380405035577
40,40,73569.0,347.8684126984127,19.453968253968245,27.914285714285718,26.68373015873016,16.649603174603175,9.331746031746034
41,41,73791.0,368.2274478330665,28.526886035313,30.296548956661315,24.135232744783305,12.594703049759225,4.477528089887642
43,43,75614.0,352.6032994923858,20.564720812182745,29.239213197969548,27.862944162436552,15.678299492385786,6.687182741116751
