,Unnamed: 0,District Code,Mean Scale Score,Percentage Advanced,Percentage Proficient,Percentage Basic,Percentage Below Basic,Percentage Far Below Basic
7,7,68023.0,354.83134408602086,32.97150537634408,27.359139784946237,18.874193548387094,10.146236559139783,3.295698924731183
8,8,68031.0,381.9940766550518,37.14634146341464,31.08594657375145,19.317073170731707,8.711962833914054,3.742160278745645
13,13,68106.0,317.7471447543158,13.300132802124837,21.035192563081008,26.64276228419655,20.824701195219127,14.47011952191235
15,15,68122.0,324.535582822086,11.88241308793456,21.335378323108387,28.79652351738241,21.830265848670763,15.575664621676893
16,16,68130.0,312.90486486486543,11.50765765765766,22.519819819819823,27.094594594594593,18.577927927927927,15.246846846846848
19,19,68171.0,334.8829268292684,14.84878048780488,24.89756097560976,31.863414634146338,18.414634146341463,10.014634146341463
20,20,68189.0,354.442123893805,24.92477876106195,28.4,23.52566371681416,15.25929203539823,6.307964601769911
23,23,68213.0,328.2598963730566,13.585492227979277,20.952331606217612,28.12331606217617,22.532642487046637,14.848704663212436
25,25,68296.0,358.2326997327001,30.738639738639737,26.615384615384613,20.812592812592808,11.833382833382833,6.167211167211168
26,26,68304.0,352.96294155427137,24.063583815028906,27.958253050738602,25.001926782273607,13.982658959537574,7.740526653821452
28,28,68338.0,329.9612997583625,19.74564415617449,23.167238967315274,23.66310568485311,17.681546483530454,10.894187968968588
29,29,68346.0,364.2789130434787,33.51467391304348,22.58913043478261,20.241304347826084,12.860326086956524,8.65
36,36,68411.0,325.54970903522195,17.119142419601836,25.246860643185297,26.242572741194486,16.260643185298623,8.765696784073508
38,38,68452.0,331.78291490055506,18.794913596348227,25.16465601565047,25.92598630583632,16.76361265079883,8.346918813172481
39,39,73551.0,362.1544035674469,30.12263099219621,24.62207357859532,22.473244147157192,13.914158305462651,7.570791527313267
40,40,73569.0,331.9975825019185,18.149654643131235,24.88641596316193,25.006139677666926,17.216423637759018,11.236761320030697
41,41,73791.0,355.7229641065226,30.174835970667697,27.71748359706677,21.406792744114238,11.721343110768045,3.9637205712080283
43,43,75614.0,350.33419521654844,21.025210084033613,28.712992889463482,26.64382676147382,15.733031674208146,7.276018099547511
