,Unnamed: 0,District Code,Mean Scale Score,Percentage Advanced,Percentage Proficient,Percentage Basic,Percentage Below Basic,Percentage Far Below Basic
7,7,68023.0,379.29880952380927,30.779761904761905,37.976190476190474,22.08333333333333,6.892857142857142,2.2261904761904763
8,8,68031.0,407.9087719298246,52.649122807017534,31.421052631578952,11.947368421052632,3.5789473684210527,0.5087719298245614
13,13,68106.0,339.06176470588235,17.852941176470583,25.470588235294123,27.94117647058824,16.544117647058822,12.205882352941178
15,15,68122.0,327.62,14.675,22.55,28.55,17.1,17.0
16,16,68130.0,338.1402173913043,18.83695652173913,23.17391304347826,26.858695652173914,18.967391304347824,12.184782608695652
19,19,68171.0,388.57272727272726,47.36363636363637,20.09090909090909,15.454545454545455,10.181818181818182,7.0
20,20,68189.0,384.8027777777778,38.611111111111114,27.962962962962962,21.87037037037037,8.407407407407408,3.2314814814814814
23,23,68213.0,350.52409638554207,23.87951807228916,29.891566265060238,20.891566265060238,11.192771084337348,14.204819277108436
25,25,68296.0,389.79268292682923,40.9219512195122,28.35121951219512,18.565853658536586,7.746341463414633,4.507317073170731
26,26,68304.0,373.41648351648354,34.25274725274725,27.659340659340657,20.824175824175825,9.307692307692307,7.978021978021977
28,28,68338.0,369.1499999999999,29.772373540856034,29.35408560311284,23.087548638132297,11.266536964980546,6.546692607003892
29,29,68346.0,390.88761061946883,41.309734513274336,22.398230088495573,18.796460176991147,11.56637168141593,5.9823008849557535
36,36,68411.0,357.9766169154228,26.422885572139307,26.407960199004968,25.417910447761198,13.378109452736318,8.407960199004973
38,38,68452.0,352.0900900900904,20.96846846846847,29.180180180180177,27.6981981981982,14.41891891891892,7.788288288288287
39,39,73551.0,398.25111111111124,46.31111111111111,27.48148148148148,15.296296296296294,7.948148148148147,2.933333333333333
40,40,73569.0,356.63872832369947,24.46820809248555,28.052023121387286,25.30635838150289,12.763005780346823,9.4393063583815
41,41,73791.0,377.0969387755104,34.80102040816327,26.193877551020414,22.505102040816325,11.729591836734693,4.811224489795919
43,43,75614.0,364.62197802197807,28.52747252747253,28.340659340659343,24.07692307692308,12.593406593406591,6.439560439560441
