,Unnamed: 0,District Code,Mean Scale Score,Percentage Advanced,Percentage Proficient,Percentage Basic,Percentage Below Basic,Percentage Far Below Basic
7,7,68023.0,357.71842244573946,33.49550026469032,28.754896770778192,18.366331392271046,9.23292747485442,2.8496559025939647
8,8,68031.0,384.26016355140223,38.04789719626168,31.67406542056075,18.657710280373827,7.862149532710281,3.824766355140187
13,13,68106.0,320.46906650396596,14.46125686394143,21.34411226357535,26.688224527150698,19.98718730933496,13.944478340451493
15,15,68122.0,328.0670329670328,11.80919080919081,22.358641358641357,30.309690309690307,20.267732267732264,15.288711288711289
16,16,68130.0,313.6828241123037,12.001238645747314,21.406688687035512,28.01362510322048,19.597440132122205,14.40132122213047
19,19,68171.0,363.3966507177034,23.124401913875605,32.88516746411483,25.799043062200962,12.980861244019136,5.320574162679426
20,20,68189.0,355.5902903811253,25.494555353902,28.964609800362968,24.183303085299453,13.001814882032669,7.13611615245009
23,23,68213.0,323.4125000000003,11.02422480620155,21.34011627906977,28.09593023255814,23.86046511627907,15.71220930232558
25,25,68296.0,359.59300903000326,31.868045441304986,26.01806000582581,20.71686571511797,11.458491115642294,6.0713661520535975
26,26,68304.0,350.59115511551147,22.427062706270622,28.221122112211226,25.851485148514854,14.141914191419144,8.203300330033004
28,28,68338.0,331.9844913771556,20.388777805548614,23.21944513871532,23.70982254436391,17.578605348662833,10.543739065233689
29,29,68346.0,362.60565123789047,33.75672766415501,22.413347685683533,19.39989235737352,12.77556512378902,8.83745963401507
36,36,68411.0,326.53783160322917,18.05565167243368,24.81978085351788,26.349480968858128,15.977797001153405,8.257785467128027
38,38,68452.0,333.56582980110886,19.511574828822955,25.446038474078907,25.784153896315622,16.388653407238344,7.866318878382786
39,39,73551.0,369.98433205057717,32.86641011544805,25.19736118746564,21.605277625068716,13.31170973062122,6.615722924683893
40,40,73569.0,334.9585449033733,19.270935960591128,26.3262599469496,24.666919287608945,15.900341038272073,10.01174687381584
41,41,73791.0,356.9520088462956,30.37486177663104,27.289716181349057,21.473276815333577,12.057869517139697,4.5532620715075565
43,43,75614.0,348.6547499999993,21.773125,28.836875,26.770625,14.210625,6.0725
