CDS code	AP Examinations Passed 
37683383731213	52.7
37683380107185	39.4
37683380107201	26.1
37683380107193	47.4
37683383737962	33.3
37683380126938	63.1
37683380120410	37.8
37683380107086	46.7
37683383733508	46.5
37683383733698	18.5
37683383730181	37.1
37683383734431	63.9
37683383734654	55.7
37683380107052	52.5
37683380107045	47.5
37683380107029	77.6
37683380107037	29.8
37683380107060	64.8
37683383730371	40.0
37683383730173	62.1
37683383730314	59.3
37683380119610	43.6
37683383731189	68.0
